course,institution,url,admission req,language req,deadline
International Leibniz Research School for Microbial and Biomolecular Interactions (ILRS Jena),Leibniz Institute for Natural Product Research and Infection Biology - Hans Knöll Institute,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9117/,"A Master's degree or equivalent in one of the subjects addressed by ILRS (e.g. biology, microbiology, biochemistry, chemistry, chemical biology, immunology, bioinformatics, biotechnology or related fields) is required. Candidates about to earn their degree are welcome to apply.",Very good spoken and written knowledge of English is required.,Please see our website at https://jobs.hki-jena.de/jobs/job-offers for open calls and available PhD projects. The application deadline and specific requirements are listed in the individual job ads.
"International Max Planck Research School ""Knowledge and Its Resources: Historical Reciprocities""",Max Planck Institute for the History of Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7875/,"Applicants need to have a Master's degree (or equivalent) in the fields of history, media studies, museum studies, archaeology, art history, literary studies, philology, environmental studies, or digital humanities research and are asked to submit the following materials:
a cover letter with a personal statement of your motivation for applying to the IMPRS-KIR (max. 1,000 words)
	a dissertation proposal (max. 2,500 words, excluding bibliography) including working title, abstract (max. 250 words), research topic and state of the art in the field of study concerned, research questions and objectives, methodology, short description of the project's feasibility and how it would be carried out (including a list of archives if applicable), bibliography (max. 30 titles)
	a curriculum vitae (one to two pages)
	copies of degree certificates / proof of the finishing date of your Master's degree
	transcript of grades achieved during your Master's studies
	proof of fluency in English (details below)
	Contact details of two academic referees must be submitted. Our selection committee will contact referees for short-listed applicants.

Please submit these materials as separate PDF documents exclusively through the following application portal: https://recruitment.mpiwg-berlin.mpg.de/position/32800772.
Only complete applications submitted via the application portal will be accepted. The portal will close on 15 January 2026, 23.59 Central European Time.
The IMPRS-KIR aims to foster diversity within its four collaborating institutions. We welcome applications from all qualified individuals regardless of age, disabilities, ethnicity, gender, nationality, religion or sexual orientation.
For more information, please consult the FAQs on the website of the IMPRS: https://imprs.mpiwg-berlin.mpg.de/how-to-apply.
For further inquiries about the PhD programme and the recruitment process, please contact the IMPRS office: imprs-office@mpiwg-berlin.mpg.de.
Please note that we cannot consider applications sent by e-mail or post. The e-mail addresses given above are only for your questions.","Fluency in English (preferably at level C1, but at least at level B2)
If English is your native language or if you went to a university where the language of instruction was English, you do not need to submit an English certificate.
Preferable: working proficiency in one or two languages additional to English",15 January 2026
International Max Planck Research School (IMPRS) on Astrophysics at LMU Munich,Max Planck Institute for Extraterrestrial Physics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3907/,"Academic admission requirements include an MSc in Physics or Astrophysics or an equivalent university degree including a Master's thesis that corresponds to a research project of at least 60 ECTS points. The Master's degree must have a final grade of at least ""good"" (2.5) according to the German system in order to be eligible for doctoral studies.
Outstanding students with an excellent Bachelor’s degree (i.e., a Bachelor’s degree with “very good” results or proven placement among the top 10% in their class) can be granted direct admission to doctoral studies by the LMU Munich. Before starting the doctoral project, however, one must first acquire 60 ECTS points from one of the Master’s programmes of the Faculty of Physics for further qualification. This requires usually five weekly lectures (two hours each week, plus tutorials) in the winter AND summer semesters. The decision on whether students with an excellent Bachelor’s degree can be granted direct admission is with the LMU exclusively and is not a decision taken by the IMPRS.
For more information on this, please check the website of the LMU Munich at https://www.physik.lmu.de/en/research/doctoral-study-and-habilitation/doctoral-study/index.html or contact the IMPRS office.","Candidates whose native language is neither English nor German should provide a certificate documenting proficiency in English, for example, TOEFL (of at least 75 points iTB / 550 PBT) or IELTS (of at least a band score of 6) or equivalent.","Application deadline is 1 November every year. Applications must be submitted via our online application portal. It will be accessible from around mid-August to 1 November.
If you would like to receive a notification as soon as the application portal has been activated, please send a short e-mail to office@imprs-astro.mpg.de."
International Max Planck Research School (IMPRS) on Interdisciplinary Plant Biology,Max Planck Institute for Plant Breeding Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3909/,Applicants must hold a Master's degree in order to be admitted to the University of Cologne.,"An essential characteristic of the IMPRS is that students from all countries can apply. Thus, the entire programme is in English, including all of the lectures and training courses. Therefore, a high proficiency in English as a second language is required for enrolment in the programme.",There is one application call per year. Details on the timeline can be found on our website.
International Max Planck Research School (IMPRS) – Quantum Dynamics and Control (QDC),Max Planck Institute for the Physics of Complex Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5512/,"The standard entrance qualification is a Master's degree (or an equivalent university qualification, e.g. German ""Diplom"") in physics, chemistry, mathematics, or computer science.","Proof of proficiency in English (TOEFL, IELTS, long-term studies in countries with English as the official language, or similar)","30 April (for a starting date in autumn)
	31 October (for a starting date in spring)
"
International Max Planck Research School for Biology and Computation (IMPRS-BAC),Max Planck Institute for Molecular Genetics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4232/,"We accept applications from students holding a Master's or comparable degree in bioinformatics, mathematics, physics, computer science, biochemistry, biotechnology, or biology. Depending on the research group students apply to, they need to have taken additional courses in the relevant scientific areas.
We do offer a preparatory programme for exceptional students with a Bachelor's degree in the computational / mathematical sciences only, who want to pursue a PhD in bioinformatics, mathematics or computer science. This preparatory programme allows them to attend lectures for three semesters at the Freie Universität in Berlin and do some lab rotations, and then start on their PhD research after a qualifying exam, without submitting a Master's thesis. Some knowledge of German may be required for the preparatory programme.","Fluency in spoken and written English is required. TOEFL or similar scores are not required for application, but they may be required for university admission. Please mention in your application whether your prior education was in English. Knowledge of German is not necessary but we do encourage learning German and offer financial support to learn German to our IMPRS doctoral candidates. If you are applying for the preparatory (fast-track) programme, some lectures might be in German.","The deadline for candidates to submit written applications is 7 January 2026 (6pm CET).
	The deadline for referees to submit reference letters is 14 January 2026 (6pm CET).

Please check our website https://www.molgen.mpg.de/IMPRS/application for more details."
International Max Planck Research School for Chemistry and Physics of Quantum Materials,Max Planck Institute for Chemical Physics of Solids,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4756/,"We are looking for highly motivated PhD students who have a record of excellence in their previous studies. Applicants are expected to have an outstanding Bachelor's or Master's degree in a field of study that is well-aligned with our research activities. If you join IMPRS-CPQM holding a Bachelor's degree, you will take extra graduate courses to bring you to the equivalent Master's level.","In general, no language certificates are required to get admitted to IMPRS-CPQM. However, the University of St Andrews does require evidence of English language proficiency, e.g. IELTS.","Our main recruitment window is toward the end of each year. The submission deadline for applications to be considered in our main window will be announced on our homepage.
However, we are aware that applicants' circumstances differ from country to country, so we are also happy to discuss applications received outside our main recruitment window."
"International Max Planck Research School for Epigenetics, Biophysics and Metabolism",Max Planck Institute of Immunobiology and Epigenetics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5604/,"We welcome applications from all countries. A Master's degree (MSc) or ""Diplom"" (or equivalent) in biology, biochemistry, biomedicine, chemistry, physics or a related field will be required. It is not necessary to hold the degree at the time of application. It must, however, be awarded by the programme start date.","Candidates must be fluent in written and spoken English. Certificates (TOEFL or IELTS) to document language proficiency are not required.
German is not required, but international students will be offered opportunities to take German language courses.",More information about the programme and on how to apply can be found on our website.
International Max Planck Research School for Global Biogeochemical Cycles (IMPRS-gBGC),Max Planck Institute for Biogeochemistry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6506/,"Applications for the programme are open to motivated and highly qualified students from all countries. A prerequisite is a ""Diplom"" or Master of Science degree in environmental sciences, geosciences, geography, biological sciences, physics, chemistry, computer sciences or related fields, including a corresponding thesis.","Proficiency in English is required since English is the official language of the programme.
The IMPRS for Global Biogeochemical Cycles has not made third-party language tests compulsory. Whether an applicant has sufficient command of the English language for a fruitful stay in the IMPRS-gBGC will become apparent during the application procedure (which includes an interview either via web conference or in person).
During the application process, you have the possibility to send us any language certificates you possess along with your other application documents.","We accept applications twice a year. For current deadlines, please refer to https://www.bgc-jena.mpg.de/en/imprs/career-application."
International Max Planck Research School for Molecular Organ Biology (IMPRS-MOB),Max Planck Institute for Heart and Lung Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6102/,"Master's degree or equivalent in biology, biochemistry, bioinformatics or related disciplines","TOEFL is not mandatory, but it will enhance your application. We also accept IELTS and other English certificates.","31 January for the following October (winter semester)
Selection interviews are usually held in March.
Please visit our website for detailed information: https://www.imprs-mob.mpg.de/."
International Max Planck Research School for Molecular Plant Science (IMPRS MolPlant),Max Planck Institute of Molecular Plant Physiology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4117/,"Applicants for the programme should hold or be about to obtain a Master's or equivalent degree in a subject relevant to our programme (biology, biochemistry, chemistry, physics, bioinformatics, mathematics, or related fields). The academic performance should be excellent (rank at or near top of class).
Doctoral candidates register with the Faculty of Science at the University of Potsdam. A university degree with at least four years of study, very good results, and a research thesis are required to be accepted as doctoral candidate at the university. If you are unsure whether you fulfil the degree requirements, please contact the doctoral programme coordinator.","The working language of the programme is English, both within the curriculum and for the scientific communication between our scientists. Thus, students who would like to pursue a doctorate within the IMPRS should have a very good knowledge of written and spoken English.
Candidates should support their application with proof of proficiency in English, for example, scores of internationally valid language exams like TOEFL, IELTS, MTELP, or other tests. If no English test is submitted, proficiency in English may be evaluated during a personal interview.
We do not require any knowledge of German. Nevertheless, some knowledge of German is useful for getting around Potsdam and Berlin. German language courses for those interested in learning some German are offered at regular intervals by the university and in collaboration with the Language School at the Potsdam Science Park (course levels: beginners and advanced 1).","A central application call for PhD positions in the IMPRS MolPlant is held once per year. Application deadlines are posted on our website.
Usually, the application deadline for the central call is in January. The selection interviews for our IMPRS are usually held in late March or in April.
Individual open positions are advertised throughout the year. Further information on how to join the IMPRS and the MPI of Molecular Plant Science is given on our website."
International Max Planck Research School for Molecules of Life (IMPRS-ML),Max Planck Institute of Biochemistry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5336/,"Entry with an MSc degree
Entry level for doctoral studies at IMPRS-ML usually is an MSc degree or an equivalent degree. Most applicants either have a combination of BSc and MSc (with a total equivalent of 300 ECTS credits) or a five-year integrated MSc. Candidates are invited to apply with any academic background relevant to the multidisciplinary research of our IMPRS-ML Faculty, including but not limited to Biology, Biochemistry, Biophysics, Chemistry, Computer Sciences, Engineering, Mathematics, and Physics.
Entry with a four-year BSc Hons (or equivalent degree)EU degrees: Applicants with a four-year first class BSc Hons (Bachelor of Science with Honours) degree awarded by a university inside the European Bologna System (equivalent to 240 ECTS credits) are eligible to apply.
UK/Australia/Canada degrees: Applicants with a four-year first class BSc Hons or MSci degree (equivalent to 240 ECTS credits) from the UK, Australia or Canada are eligible to apply.
Depending on the specifics of your curriculum and your academic background, you may be assigned an additional course load of 15 to 60 ECTS credits by the Munich universities. You will have to fulfil these additional course requirements during your doctoral studies. Some university departments will also ask you to take a qualifier examination in the first year of doctoral studies.
Applicants with degrees outside the European Bologna System (incl. Turkey): Applicants with a four-year BSc degree awarded by universities outside the European Bologna System are typically not eligible to apply. This includes BSc degrees awarded by universities from the USA, Asia, Africa and Turkey.
Medical degrees
Candidates with a medical degree such as a MBBS degree (or an equivalent degree) and medical students from Germany are not eligible to apply to our PhD programme. We recommend applying to specific MD/PhD programmes instead.
Likewise, candidates with a degree in veterinary medicine typically are not eligible to apply.
Recognising international degrees
Please keep in mind that your university needs to be recognised by the German authorities. This is the case for most European public and state universities and only very few private universities may not be recognised. If you apply from overseas, we recommend visiting the governmental anabin website that allows you to check whether your university and your degree programme are recognised in Germany.
A full assessment regarding eligibility is only possible after submission of a complete application and typically requires the approval of university officials.
It is not necessary to already hold the relevant degree at the time of application. However, accepted candidates need to hold their degree prior to starting their doctoral studies and enrolment at IMPRS-ML.
Should you have questions regarding eligibility that cannot be answered in this section, please get in touch with the IMPRS-ML Coordination Office.","Successful candidates need to be fluent in written and spoken English and, unless native speakers, should document their proficiency in English. Ideally, this can be achieved with a TOEFL report, an IELTS report or a Cambridge ESOL certificate (equivalent language tests are also accepted). If an English proficiency test cannot be provided, applicants should describe their English skills in the application form and explain why they think their English skills are sufficient to successfully complete doctoral studies at IMPRS-ML. In that case, it is helpful if your academic training was in English or if you spent extended periods of time in an English-speaking country.","Our online application platform will open on 25 August 2025. The closing date for applications is 7 October 2025.
More information about the timeline of the application process can be found on our website."
"International Max Planck Research School for Quantitative Behaviour, Ecology and Evolution from Lab to Field (IMPRS-QBEE)",Max Planck Institute of Animal Behavior,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8510/,"We seek to prepare young motivated researchers with the minimum entry requirement of a Master's or an equivalent degree level. In exceptional cases, graduates with a four-year Bachelor’s degree (with written thesis) in a related subject are considered.
It is not necessary to hold the final degree at the time of application.",Candidates need to be fluent in written and spoken English and – unless they are native speakers – have to document their proficiency in English (e.g. TOEFL). German is not required. Students from abroad will be offered opportunities to take German courses.,https://imprs-qbee.mpg.de/32524/apply
International Max Planck Research School for Science and Technology of Nano-Systems (IMPRS-STNS),Max Planck Institute of Microstructure Physics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4050/,"A very good Master's degree in physics, chemistry, materials sciences, engineering, or in a related field",A very good command of the English language is mandatory and must be proven with a standard English test (TOEFL or similar).,"There is no application deadline.
Please refer to https://www.imprs-stns.mpg.de/application for details."
International Max Planck Research School for Sustainable Metallurgy – From Fundamentals to Engineering Materials (IMPRS SusMet),Max Planck Institute for Sustainable Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8346/,"Excellent Master’s degree in materials science, physics, engineering or chemistry
We particularly encourage applications from candidates with a computational background.","The applicants must provide proof of their English proficiency (TOEFL, IELTS, or the equivalent).",There is one application round in September/October each year.
International Max Planck Research School for the Mechanisms of Mental Function and Dysfunction,University of Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7653/,"Master of Science or equivalent degree with a strong background in neuroscience, biology, physics, biomedical sciences, computational science, applied mathematics, statistics, artificial intelligence, psychology, cognitive science, or engineering","If you are not a native English speaker, you need to provide a proof of English proficiency. Applicants who have been taught the majority of their courses in English do not need to submit results from a standardised test such as TOEFL or IELTS. We also accept outdated test results.","For precise dates and comprehensive information about the application procedure, please visit the IMPRS website."
International Max Planck Research School of Marine Microbiology (IMPRS MarMic) - MSc/PhD Programme,Max Planck Institute for Marine Microbiology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4468/,"The programme is intended for students who hold a degree (MSc or equivalent) in biology, biochemistry, marine biology, oceanography, microbiology, chemistry, molecular biology, geology, biogeochemistry, bioinformatics, or in related fields.","Applicants whose native language is not English are asked to submit proof of proficiency in English (e.g. IELTS: band 7.0, Cambridge University: Certificate in Advanced English or TOEFL level C1). Submission preferably by 28 February each year (but also acceptable after this deadline)
Please note: if you have not yet reached the required scores in the English proficiency test, please do not hesitate to apply.","28 February, every year"
International Max Planck Research School on Cognitive NeuroImaging (IMPRS CoNI),Max Planck Institute for Human Cognitive and Brain Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4639/,"Applicants are expected to hold an excellent Master’s degree (or equivalent) from a wide spectrum of potential disciplines such as cognitive neuroscience, computational neuroscience, translational neuroscience, psychology, medicine, neurobiology, computer science, engineering, mathematics, physics, neuroimaging, biochemistry, or related fields. The Master’s degree should have been awarded by an internationally recognised university. Students nearing completion of their Master’s degree are also encouraged to apply. Research experience in an area that is related to the scope of IMPRS CoNI is essential for successful candidates. Proficiency in oral and written English is crucial. Applicants with a Bachelor’s degree will, in exceptional cases, also be admitted to the school. However, they need to commit to completing an orientation phase at Leipzig University (LU), during which they have to earn 60 ECTS credit points as required in the doctoral regulations of the respective faculties. The content of such an orientation phase will be decided on an individual basis, depending on the student’s background, skills, and qualifications. After the orientation phase, the student is required to pass an aptitude exam at LU before finally being admitted to the doctoral candidate list.
The IMPRS CoNI aims to recruit and educate motivated, independent, self-organised and highly talented doctoral students who wish to extend their knowledge and research experience in a structured three-year PhD programme focused on cognitive neuroimaging.
The IMPRS CoNI aims at recruiting excellent students of all genders, nationalities, ethnicities and social backgrounds, sexual orientations, and physical abilities. We are committed to equal opportunities and aim at a diverse student body. Thus, we especially encourage applications from individuals who belong to underrepresented groups in science.","Candidates are expected to be proficient in written and spoken English.
Because the teaching and supervision language at the IMPRS CoNI is English, German language skills are not mandatory.
For PhD applicants, a minimum score required for a TOEFL paper-based test is 550. The minimum score for the TOEFL computer-based test is 213, and it is 79–80 for the Internet-based test.
For IELTS, the overall band score should be 6.5.",See our website (https://imprs-coni.mpg.de/application-dates) for further information.
International Max Planck Research School on Earth System Modelling (IMPRS-ESM),Max Planck Institute for Meteorology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3604/,"A Master's degree (including a written thesis) or a comparable academic qualification in the broad field of Earth System Sciences: physics, geophysical sciences (including meteorology and oceanography), chemistry, ecology, mathematics, computer science, engineering, economics, or political science
Since the programme focuses strongly on numerical simulations, candidates with computer literacy (e.g. Unix environment, Python programming or other programming languages) will be given priority.","The IMPRS-ESM offers an English PhD programme. Applicants must possess a high level of proficiency in written and oral English. Language skills can be demonstrated in the quality of the application documents and during the interview.
Some basic knowledge of the German language is recommended. German language classes are organised and partly financed via the IMPRS-ESM.",The annual call for applications opens 1 July and ends 15 September. Online registration is required prior to application: https://mpimet.mpg.de/en/career/imprs-esm.
International Max Planck Research School on the Social and Political Constitution of the Economy (IMPRS-SPCE),Max Planck Institute for the Study of Societies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5214/,"Candidates should hold a Master's degree or equivalent (with a minimum of 120 ECTS) in political science, sociology, organisational studies, or related fields and possess strong English skills.
Students with foreign degrees may be admitted if their degrees are equivalent to a German ""Diplom"", ""Magister"" or MA. 
Proof of having earned the required degree must be received by the end of September in the year that the applicants wish to enrol in the programme.","Knowledge of German is not mandatory for completing the programme. However, IMPRS-SPCE students are strongly encouraged to learn some basic German in order to participate more fully in life at the institute, the university, and the city.
The thesis may be written in English or German.","We welcome applications to the IMPRS-SPCE programme once a year starting around 15 December.
The application deadline is 28 February."
International Max Planck Research School on Trustworthy Computing (IMPRS-TRUST),Max Planck Institute for Software Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7046/,"A successful candidate must:
hold or be about to receive a Bachelor's or Master's degree in Computer Science from a research-oriented institution of higher education
	have outstanding academic performance (rank at or near the top of their class)
	have engaged in research
	have excellent oral and written English language skills
	show aptitude for independent, creative work

The application must be supported by
a Bachelor's or Master's degree
	a school certificate
	academic transcripts
	a CV
	three names and e-mail addresses of professors or similar willing to give references for the candidate
	a personal statement explaining the candidate's motivation and reasons for pursuing a PhD in Computer Science at the IMPRS-TRUST

Additionally, submission of GRE general and GRE Computer Science subject test scores is strongly encouraged, but it is not compulsory.
Shortlisted applicants are typically asked to deliver a 15-minute (online) research presentation.","Successful candidates must have excellent oral and written English language skills. Submission of TOEFL scores, TSE scores, or the Cambridge Certificate is strongly encouraged, but it is not compulsory.",The application deadline is flexible. Please check https://www.imprs-trust.mpg.de.
International Max Planck Research School Physics of Light (IMPRS-PL),Max Planck Institute for the Science of Light,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3908/,Master's degree in physics or engineering,"A very good command of English is mandatory, as English is the working language. A language test certificate is not required, but it is strongly recommended.","Applications are possible throughout the year. For more information, please see: https://mpl.mpg.de/study-work-or-visit/graduate-programs/how-to-apply/phd-positions."
International Max Planck Research School – Biological Intelligence,Max Planck Institute for Biological Intelligence,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8563/,"Applicants should hold an MSc (or an equivalent degree) in biology, biochemistry, neuroscience, physics, computer science, physics, chemistry, mathematics or related disciplines in the field of natural sciences.
Applicants with a European four-year BSc Hons degree (or equivalent degree with 240 ECTS credits) are also eligible to apply.","Applicants need to be fluent in written and spoken English. Non-native speakers must provide proof of appropriate English skills (TOEFL, IELTS or equivalent test certificates). This requirement can be waived if the applicant's previous academic education was in English!","Apply now for fully-funded doctoral student positions. Application deadline: 10 November 2025
Details about the application process can be found on our website."
International Max Planck Research School – From Molecules to Organisms,University of Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4740/,Applicants must hold or expect to hold a Master's degree or equivalent degree with a specialisation in natural or computer science.,English is the programme language. Good written and spoken English is essential.,"Application deadline: February
Interviews in March/April
Outside of the recruiting round, individual applications are possible by approaching faculty directly."
"International Max Planck Research School – Moduli Spaces and their Applications in Algebra, Differential Geometry, Topology and Mathematical Physics",Max Planck Institute for Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3940/,"German ""Diploma"", Master of Science, Bachelor of Science or equivalent",Proof of proficiency in English (TOEFL test or equivalent qualification),"15 April for the following winter semester
	15 November for the following summer semester
"
International Max Planck Research School – Physics and Medicine (IMPRS-PM),Max-Planck-Zentrum für Physik und Medizin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8537/,"Master's degree in physics, biology, integrated life sciences, molecular medicine or medical engineering","A very good command of English is mandatory, as English is the working language. A language test certificate is not required, but it is strongly recommended.","Applications are possible throughout the year. For more information, please see: https://mpl.mpg.de/study-work-or-visit/graduate-programs/how-to-apply/phd-positions."
International PhD Programme (IPP) Literary and Cultural Studies,Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3695/,"Students wishing to apply to the IPP ""Literary and Cultural Studies"" must hold a university degree in Literary Studies (e.g. German Studies, English/American Studies, Romance Studies, Slavic Studies, Comparative Literary Studies, Theatre Studies) with a GPA (average/final grade) well above average. Applicants should either hold a ""Diplom"", ""Magister"", ""Erstes Staatsexamen"" or Master's degree if obtained in Germany or a university degree equivalent to the German Master of Arts with thesis if obtained abroad. Furthermore, sound knowledge in either English or German is required.","For most disciplinary areas, the language of the dissertation and the dissertation defence is either German or English. The PhD Committee may accept the language of your respective discipline (i.e., French, Italian, Spanish, Portuguese) as well.
Even if the language of the dissertation is other than German, basic skills in German need to be acquired in the course of your studies. The IPP offers courses and training in German, English, and French. We would warmly advise you, however, to acquire a basic knowledge of German before coming to Giessen.","The deadline for applications is 1 February every year. In some cases – for example, if the applicant will not finish her/his degree until after 1 February – it is possible to extend the deadline to 1 May after consulting the IPP."
International PhD Programme at the German Cancer Research Center (DKFZ),German Cancer Research Center (DKFZ) Heidelberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4058/,"Applicants from all countries who hold a Master’s degree in a field related to cancer research are invited to apply.
Visit our website for more details on admission requirements.","A language test for English is requested for all applicants except those coming from German-speaking countries (Germany, Austria, Switzerland), as well as native English speakers from Australia, Canada, Ireland, UK, and USA. If your studies were in English, then please upload a PDF document from your university (or Director of Studies) in which this is stated. The following proof of English is accepted:
TOEFL test with a score of 95+ (internet-based), 240+ (computer-based) or 587+ (paper-based)
	IELTS certificate with a band score 7.0+
	Cambridge Certificate in Advanced English (CAE)
",We have two applications deadlines annually. You'll find the next application deadline on our website.
"International PhD Programme for Agricultural Economics, Bioeconomy and Sustainable Food Systems (IPPAE)",Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3740/,"Outstanding MSc or MA in agricultural economics, economics, environmental sciences or rural development, obtained not more than six years prior to the application
Candidates are expected to have relevant work experience, such as at least two years of work experience as a scientist at an institute of higher education or at a research institute in their home country. Preference is given to candidates whose employers offer a reintegration guarantee.
Before beginning the PhD work, candidates must:
pass a German language course exam
	pass the coursework exam in agricultural economics at Giessen or Hohenheim Universities within the first year of the programme
	include a research proposal on a relevant topic in their home country with the application documents

For all detailed admission requirements and the application procedure, please have a look at our website.","Candidates must pass the German language course exam (following a German language course during the first two months at Marburg language centre).
Very good spoken and written knowledge of the English language is essential: a TOEFL with a minimum of 233 points computer-based, 577 points paper-based, 90 points Internet-based; or IELTS 6,5.
	A statement from your educational institution certifying English as the language of instruction used in the education programme and a copy of your MSc thesis (pdf) may suffice to prove your language proficiency if you have successfully completed your education (MSc programme) in English at a recognised university in the EU or in one of the following English-speaking countries: United Kingdom of Great Britain, Northern Ireland, Republic of Ireland, Australia, Canada, New Zealand, United States of America, Antiqua and Barbuda, Bahamas, Barbados, Dominica, Grenada, Jamaica, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, Trinidad and Tobago, Belize, or Guyana.
","31 August at the university for the following year
No letter of acceptance from the University of Giessen/Hohenheim is required for the application, and none will be given in advance."
International PhD Programme in Molecular Medicine (IGradU),Ulm University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3947/,"Four-year Bachelor's degree, Master of Science degree, German Diploma, or equivalent degree in life sciences, physics, chemistry, informatics, or a related field
	Final grade of 2.0 or better (according to the German grading system)
","As teaching is in English, very good knowledge of the English language is required. Applicants have to demonstrate their English language skills during a public presentation (Selection Day).","Summer semester: December to mid-January (six weeks)
Winter semester: June to July (four weeks)"
International PhD Programme: Science and Health in Football,Saarland University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4720/,"In order to be considered for the programme, candidates must have completed (or be in the process of completing) a Master's degree or equivalent degree with a thesis in a field related to medicine, sports science, exercise physiology, human biology, or neighbouring fields. In rare cases, applications from excellent candidates with only a Bachelor's degree may also be considered for the programme.
The following pieces of information and documents are required
(1) Curriculum vitae
(2) Description of academic performance and research experience:
Transcripts of records
	Certificates of your degrees (BSc, MSc, Diploma, Magister, Staatsexamen, etc.) Please submit translated certificates if the originals are not written in English or German.
	Summary of research experience (e.g. description of activities or positions in research; list of published papers, conference attendance and presentations)
	An abstract of your graduation thesis in English 

For the first application round, scanned PDF files of certificates are accepted. In the further application process, submission of legally certified transcripts is mandatory due to university regulations.
(3) Two letters of recommendation from two independent academics and/or practitioners within the field of sports science / sports medicine
(4) Letter of motivation 
(5) A brief research proposal for the currently offered PhD project is preferable, but not required (mandatory for applications with self-funded or otherwise funded PhD projects).","For applicants who are non-native English speakers, it is necessary to demonstrate English knowledge by achieving adequate results in an internationally recognised test (TOEFL or IELTS test). Submitting detailed results of such tests is strongly recommended for non-native speakers. If previous studies were in English or if the applicant has already published in English, we might accept this as a demonstration of language proficiency.","Scholarship projects are usually advertised at the end of each year, with a deadline on 31 December. Students can always apply with self-funded PhD projects, as there are no deadlines for these applications."
Jena School for Microbial Communication (JSMC),Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4005/,"Recruitment and selection of local and international doctoral researchers for the JSMC is based on previous study achievements. The students recruited should hold a Master's degree (or equivalent) in a discipline of the natural sciences or life sciences.
The best Bachelor's students of each year (top five percent) can apply for direct admission to the PhD programme with one year of qualification instead of the usually required Master's degree.
Within the JSMC recruitment calls, PhD projects in various scientific disciplines are offered. Applicants can rank up to three projects of interest. The applicants' qualifications should match the requirements of the respective PhD projects they apply for (detailed descriptions of the projects offered within a JSMC recruitment call are published at http://www.jsmc.uni-jena.de when a call is launched).",Excellent English proficiency is required to allow for successful participation in the training programme and for communication and exchange between the scientists.,"For detailed information on the application procedure and deadlines, please visit: http://www.jsmc.uni-jena.de."
Jena Schumpeter Center for Research on Socio-Economic Change (JSEC),Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3982/,Master's degree (or equivalent),Good English skills,"31 March, 30 September"
